gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets,ticker,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
1979,BCPC,314.242,1597.211,37.892,64.447,589.304,108.543,137.261,922.439,39.343,52.046,-10.814,-10.625,28.718,New Jersey,0.20922184742934993,-0.07878421401563446,-0.006770551918312609,BCPC,53147,CEO,0.0,0.0,1885.54,45.691,1155.0,2601.958,2725.1,5889.707,5889.707,5889.707,0.44178055037372826,0.0
1988,BALL,4883.0,19303.0,1045.0,710.0,11359.0,707.0,834.0,14029.0,190.0,421.0,-67.0,-67.0,123.0,Colorado,0.1474820143884892,-0.0803357314148681,-0.003470963062736362,BALL,59850,CEO,0.0,0.0,150.56,44.861,1249.038,2900.025,0.0,9144.401,6244.409,9318.556,0.3171366828729405,0.0
2049,B,906.72,3308.014,55.739,92.039,860.376,15.996,33.264,1450.871,23.382,120.608,-16.058,-6.114,17.268,Connecticut,0.5191197691197691,-0.4827441077441077,-0.004854272079864232,B,69021,CEO,0.0,0.0,2733.668,70.15,1000.0,4688.207,724.386,7305.338,1502.15,7305.338,0.6417508676532148,0.0
2080,BSET,157.954,370.424,17.489,70.182,181.524,-3.171,-2.488,390.136,-0.193,0.0,0.831,0.876,0.683,Virginia,-0.2745176848874598,-0.33400321543408357,0.002243375159276937,BSET,8802,CEO,0.0,0.0,0.0,6.6,474.5,52.65,83.15,533.75,533.75,533.75,0.09864168618266979,0.0
2086,BAX,9600.0,28276.0,692.0,3198.0,7852.0,-76.0,-103.0,14813.0,465.0,447.0,-499.0,-499.0,-34.0,Illinois,0.3300970873786408,4.844660194174757,-0.017647474890366388,BAX,52422,CEO,0.0,0.0,0.0,136.132,1300.0,7527.469,3536.245,11151.501,11151.501,13786.671,0.6750184571565747,0.0
2101,AIT,1646.807,2743.332,26.476,344.036,3125.829,346.739,449.811,4412.794,108.788,44.981,-5.716,-5.716,103.072,Ohio,0.22914512984342314,-0.012707559397169034,-0.002083597610497016,AIT,46293,CEO,0.0,8829.166,3371.6,267.733,950.0,2730.568,4040.757,4420.729,12490.717,6361.505,0.6176736913753366,1.9972194631247469
2111,BDX,8676.0,52780.0,874.0,1489.0,8335.0,1530.0,1662.0,19372.0,754.0,2450.0,-622.0,-622.0,132.0,New Jersey,0.07942238267148015,-0.3742478941034898,-0.01178476695718075,BDX,53861,CEO,0.0,0.0,1150.955,257.125,1315.625,9491.982,15141.327,16996.892,12952.857,17309.938,0.5584539808807398,0.0
2124,BELFB,381.478,571.631,12.126,127.222,410.652,73.831,83.3,639.813,13.341,1.456,-3.872,-3.872,9.469,New Jersey,0.1136734693877551,-0.04648259303721489,-0.006773600452039865,BELFB,20622,CEO,216.881,0.0,0.0,37.595,600.0,0.0,600.93,1529.476,1529.476,1529.476,0.0,0.0
2136,VZ,36814.0,380255.0,18767.0,3346.0,54805.0,11614.0,16987.0,133974.0,2504.0,45781.0,2388.0,2388.0,4892.0,New York,0.2879849296520869,0.14057808912697944,0.006279996318260115,VZ,56554,CEO,0.0,0.0,0.0,541.775,1500.0,18000.042,10626.839,24129.317,24129.317,24129.317,0.7459822422657053,0.0
2184,BBY,8802.0,15803.0,930.0,2253.0,35554.0,1419.0,1789.0,46298.0,319.0,51.0,51.0,51.0,370.0,Minnesota,0.2068194522079374,0.02850754611514813,0.003227235335062963,BBY,55171,CEO,0.0,330.456,0.0,147.24,1325.0,10999.54,9670.76,14443.881,14774.337,14443.881,0.7615363211591124,0.022878615518917667
2220,BIO,3048.33,12299.07,156.68,1612.853,1100.651,-637.324,-850.104,2671.262,103.22,1475.495,-322.6,-322.6,-212.78,California,0.25029878697194696,0.37948298090586563,-0.02622962549200875,BIO,17343,CEO,0.0,19509.16,0.0,212.341,1040.0,6211.537,8047.064,7463.878,26973.038,7463.878,0.8322130935151942,2.6138101399835314
2259,BKH,826.6,9620.4,555.6,93.0,1601.8,262.2,301.6,2331.3,0.2,548.0,25.4,25.4,25.6,South Dakota,0.08488063660477453,0.08421750663129972,0.002640222859756351,BKH,30951,CEO,0.0,0.0,0.0,607.725,893.333,2729.666,1432.157,2873.843,2873.843,5639.002,0.9498312886264143,0.0
