ticker,gvkey,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
OXM,8219,29809,CEO,0.0,0.0,0.0,460.45,934.615,4247.46,2280.434,5642.525,5642.525,5642.525,0.7527587383308005,0.0
PNC,8245,25023,CEO,0.0,0.0,0.0,797.603,1200.0,12750.115,16872.455,19157.718,19157.718,19950.306,0.6655341205043315,0.0
PPG,8247,54162,CEO,0.0,0.0,1856.089,260.614,1200.0,4999.561,0.0,12160.363,9660.175,12472.955,0.41113583533649445,0.0
PCAR,8253,61027,CEO,0.0,5719.153,4745.383,21.364,1544.231,4262.5,8165.27,6909.969,10772.248,15658.665,0.6168623911337373,0.8276669548010998
PCG,8264,67405,CEO,0.0,0.0,0.0,357.8,1400.0,11750.292,11897.618,12198.33,12198.33,16994.84,0.963270546050156,0.0
SRE,8272,58865,CEO,0.0,0.0,1270.812,834.82,1500.0,8252.705,19354.367,19161.947,19161.947,27421.881,0.43068196566872874,0.0
MEC2,8290,69970,CEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PKE,8348,10404,CEO,0.0,0.0,210.7,5.917,213.556,0.0,0.0,295.723,219.473,295.723,0.0,0.0
PH,8358,62370,CEO,0.0,0.0,3113.398,493.682,1086.667,10062.781,0.0,16404.346,14686.803,16404.346,0.6134216505796696,0.0
PATK,8386,53548,CEO,0.0,4590.9,0.0,29.4,817.308,4200.02,2470.215,6679.328,11270.228,6748.551,0.6288087663908705,0.6873296235788988
PAYX,8402,49570,CEO,0.0,0.0,291.618,17.807,922.211,4024.955,6283.094,7534.855,5809.848,7534.855,0.5341781626852806,0.0
AFG,8431,3698,CEO,0.0,0.0,0.0,1785.524,1250.0,1500.054,5996.336,9844.148,9844.148,9844.148,0.15238027709457438,0.0
PPL,8455,50587,CEO,0.0,0.0,0.0,112.845,1201.326,6442.931,3285.685,4529.974,4529.974,11969.556,1.42228873719805,0.0
PNR,8463,34967,CEO,0.0,658.818,3981.009,38.51,1075.041,4649.995,4199.802,8944.252,8053.107,10008.469,0.5198864030217395,0.07365825560371063
PEP,8479,52057,CEO,0.0,0.0,0.0,824.076,1688.462,10230.075,0.0,26160.013,26160.013,33906.212,0.3910577185110726,0.0
PFE,8530,54169,CEO,0.0,0.0,0.0,2259.254,1787.5,8745.187,0.0,21553.624,12791.941,21562.064,0.40574090927817985,0.0
EXC,8539,63247,CEO,0.0,0.0,0.0,483.917,1244.271,7951.8,6962.702,3994.088,3994.088,12266.72,1.9908925391728975,0.0
WTRG,8542,37458,CEO,0.0,0.0,0.0,2544.409,985.584,0.0,0.0,4967.293,4967.293,7749.95,0.0,0.0
MO,8543,52559,CEO,0.0,0.0,0.0,6948.071,1350.0,6600.049,11312.83,14898.12,14898.12,18528.628,0.44301220556687687,0.0
COP,8549,40745,CEO,0.0,32272.738,0.0,448.385,1742.5,14842.125,0.0,5928.548,38201.286,20770.673,2.503500857208207,5.443615873566344
PVH,8551,64147,CEO,0.0,0.0,5112.085,161.714,1291.667,8880.455,10189.122,15339.233,13117.916,15613.904,0.5789373562550357,0.0
