gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets
1926,AZZ,417.416,2221.479,57.12,2.82,971.169,66.339,88.675,1323.649,6.197,40.536,7.007,16.139,22.336,Texas,0.2518861009303637,0.07901888920214266,0.0031542049238367773
1968,BMI,442.177,716.919,12.003,191.782,404.317,92.598,121.966,703.592,39.018,5.061,-9.65,-9.65,29.368,Wisconsin,0.24078841644392698,-0.07912041060623454,-0.013460376974246744
1979,BCPC,314.242,1597.211,37.892,64.447,589.304,108.543,137.261,922.439,39.343,52.046,-10.814,-10.625,28.718,New Jersey,0.20922184742934993,-0.07878421401563446,-0.006770551918312609
1988,BALL,4883.0,19303.0,1045.0,710.0,11359.0,707.0,834.0,14029.0,190.0,421.0,-67.0,-67.0,123.0,Colorado,0.1474820143884892,-0.0803357314148681,-0.003470963062736362
2049,B,906.72,3308.014,55.739,92.039,860.376,15.996,33.264,1450.871,23.382,120.608,-16.058,-6.114,17.268,Connecticut,0.5191197691197691,-0.4827441077441077,-0.004854272079864232
2052,BRN,9.085,35.421,11.632,2.83,15.295,-0.961,-0.864,25.167,0.077,0.058,-0.13,-0.13,-0.053,Hawaii,0.061342592592592594,0.15046296296296297,-0.0036701391829705543
2080,BSET,157.954,370.424,17.489,70.182,181.524,-3.171,-2.488,390.136,-0.193,0.0,0.831,0.876,0.683,Virginia,-0.2745176848874598,-0.33400321543408357,0.002243375159276937
2086,BAX,9600.0,28276.0,692.0,3198.0,7852.0,-76.0,-103.0,14813.0,465.0,447.0,-499.0,-499.0,-34.0,Illinois,0.3300970873786408,4.844660194174757,-0.017647474890366388
2101,AIT,1646.807,2743.332,26.476,344.036,3125.829,346.739,449.811,4412.794,108.788,44.981,-5.716,-5.716,103.072,Ohio,0.22914512984342314,-0.012707559397169034,-0.002083597610497016
2109,SHGI,0.1,0.1,0.0,0.1,0.0,-0.048,-0.048,0.0,0.0,0.0,0.0,0.0,0.0,Rhode Island,-0.0,-0.0,0.0
2111,BDX,8676.0,52780.0,874.0,1489.0,8335.0,1530.0,1662.0,19372.0,754.0,2450.0,-622.0,-622.0,132.0,New Jersey,0.07942238267148015,-0.3742478941034898,-0.01178476695718075
2113,NICH,0.144,0.179,0.0,0.0,0.021,-0.827,-0.827,0.004,0.0,0.0,0.0,0.0,0.0,Nevada,-0.0,-0.0,0.0
2124,BELFB,381.478,571.631,12.126,127.222,410.652,73.831,83.3,639.813,13.341,1.456,-3.872,-3.872,9.469,New Jersey,0.1136734693877551,-0.04648259303721489,-0.006773600452039865
2136,VZ,36814.0,380255.0,18767.0,3346.0,54805.0,11614.0,16987.0,133974.0,2504.0,45781.0,2388.0,2388.0,4892.0,New York,0.2879849296520869,0.14057808912697944,0.006279996318260115
2184,BBY,8802.0,15803.0,930.0,2253.0,35554.0,1419.0,1789.0,46298.0,319.0,51.0,51.0,51.0,370.0,Minnesota,0.2068194522079374,0.02850754611514813,0.003227235335062963
2220,BIO,3048.33,12299.07,156.68,1612.853,1100.651,-637.324,-850.104,2671.262,103.22,1475.495,-322.6,-322.6,-212.78,California,0.25029878697194696,0.37948298090586563,-0.02622962549200875
2240,NIMU,0.023,0.023,0.0,0.007,0.0,-0.199,-0.199,0.0,0.0,0.0,0.0,0.0,0.0,Florida,-0.0,-0.0,0.0
2259,BKH,826.6,9620.4,555.6,93.0,1601.8,262.2,301.6,2331.3,0.2,548.0,25.4,25.4,25.6,South Dakota,0.08488063660477453,0.08421750663129972,0.002640222859756351
2269,HRB,1187.486,3072.258,69.698,1015.316,1792.951,561.8,711.212,3472.185,134.667,3.944,49.579,14.745,149.412,Missouri,0.2100808197836932,0.06971057856166657,0.016137642086048763
2312,RHI,2297.139,3010.789,45.874,1302.786,3766.149,411.146,576.583,6392.517,182.075,0.341,-16.568,-16.638,165.437,California,0.2869266003333432,-0.02873480487631443,-0.00550287648852178
2352,BRC,524.82,1389.257,19.226,151.532,642.218,174.857,225.696,1331.863,63.311,14.952,-12.472,-12.472,50.839,Wisconsin,0.22525432440096413,-0.055260172976038566,-0.008977460613838908
2390,BRID,87.477,166.998,2.603,15.708,174.721,3.474,4.495,251.636,1.652,8.342,-0.631,-0.631,1.021,Texas,0.22714126807563959,-0.14037819799777532,-0.0037784883651301214
2435,BF.B,3801.0,7777.0,183.0,384.0,1654.0,783.0,1017.0,4228.0,237.0,323.0,-3.0,-3.0,234.0,Kentucky,0.23008849557522124,-0.0029498525073746312,-0.00038575286100038574
2436,CAL,831.455,1836.472,55.913,41.59,1634.254,181.742,213.034,2968.138,22.925,19.001,4.27,10.414,33.339,Missouri,0.15649614615507385,0.02004374888515448,0.002325110320222688
2444,BC,2509.7,6230.5,289.3,479.7,4341.5,432.6,628.9,6401.4,179.9,12.4,16.4,16.4,196.3,Illinois,0.3121322944824297,0.026077277786611543,0.002632212503009389
2490,BRK3,4777.0,94577.0,3920.0,2148.0,13852.0,5087.0,6614.0,23876.0,1428.0,15222.0,99.0,99.0,1527.0,Texas,0.23087390384033868,0.014968249168430602,0.0010467661270710637
2497,MTZ,3974.253,9373.511,192.941,529.561,10605.962,-49.949,-82.704,11995.934,105.5,390.399,-140.863,-140.9,-35.408,Florida,0.42812923195976016,1.7032187076804026,-0.015027773477835573
2504,UIS,971.0,1965.4,21.3,387.7,1370.0,-430.7,-347.8,2015.4,54.8,0.9,24.5,24.5,79.3,Pennsylvania,-0.22800460034502587,-0.07044278320874066,0.01246565584613819
2519,BUKS,40.162,113.906,6.51,21.997,41.303,4.516,6.527,75.182,1.714,0.0,0.297,0.297,2.011,Kansas,0.3081047954649916,0.045503294009499,0.0026074131301248396
2536,RAMP,714.559,1172.703,4.696,509.365,149.297,-124.106,-118.854,596.583,5.137,0.298,0.115,0.115,5.252,California,-0.044188668450367674,-0.0009675736618035574,9.806404520155573e-05
2547,CI,37351.0,152761.0,1573.0,8565.0,168872.0,5164.0,5513.0,195244.0,1800.0,7173.0,-1659.0,-1659.0,141.0,Connecticut,0.02557591148195175,-0.3009250861599855,-0.01086010172753517
2573,CSPI,50.364,65.904,0.226,25.217,42.369,5.204,4.735,64.647,1.877,0.0,-2.346,-2.346,-0.469,Massachusetts,-0.09904963041182681,-0.49545934530095037,-0.03559723233794611
2574,CSX,3384.0,42408.0,2281.0,1436.0,7622.0,3715.0,4891.0,14657.0,1036.0,7746.0,140.0,140.0,1176.0,Florida,0.24044162747904313,0.02862400327131466,0.0033012639124693453
2578,TLS,139.991,208.699,0.926,99.26,87.366,-34.422,-34.386,145.378,-0.019,0.813,0.055,0.055,0.036,Virginia,-0.001046937707206421,-0.001599488163787588,0.0002635374390869146
2581,CVV,22.841,35.025,0.418,14.025,18.246,-4.18,-4.194,24.109,-0.014,0.0,0.0,0.0,-0.014,New York,0.0033381020505484026,-0.0,0.0
2596,CACI,1210.037,6600.808,63.717,115.776,4402.728,384.735,483.639,6702.546,244.917,120.545,-146.013,-146.013,98.904,Virginia,0.20449963712603822,-0.30190493322498807,-0.02212047373594263
2615,CAMPQ,174.795,380.12,11.1,41.928,169.512,-32.49,-31.339,294.949,0.475,0.242,0.676,0.676,1.151,California,-0.036727400363764005,-0.02157056702511248,0.0017783857729138169
2628,CWT,296.285,4595.533,383.747,84.966,611.474,51.911,44.595,794.632,0.003,352.762,35.627,-6.784,-6.781,California,-0.15205740553873753,0.7989012221101021,0.007752528379189095
2663,CPB,2061.0,12058.0,370.0,189.0,6076.0,858.0,1128.0,9357.0,275.0,1067.0,-5.0,-5.0,270.0,New Jersey,0.2393617021276596,-0.004432624113475178,-0.0004146624647536905
2710,STZ,3496.1,24662.3,1035.4,133.5,4296.6,-71.0,383.6,9452.6,214.3,569.5,207.8,207.8,422.1,New York,1.1003649635036497,0.5417101147028154,0.00842581592146718
2751,CAH,33833.0,43417.0,481.0,4043.0,197686.0,261.0,638.0,205012.0,407.0,2096.0,-31.0,-31.0,376.0,Ohio,0.5893416927899686,-0.048589341692789965,-0.0007140060345026142
2777,ASWRF,1.323,5.082,0.545,1.31,0.003,-0.711,-0.711,0.0,0.0,0.0,0.0,0.0,0.0,British Columbia,-0.0,-0.0,0.0
2783,DUK8,5435.0,67094.0,4917.0,98.0,8334.0,1956.0,2333.0,13544.0,497.0,5197.0,-120.0,-120.0,377.0,North Carolina,0.16159451350192885,-0.05143591941705958,-0.001788535487524965
2787,CRS,1281.9,3053.9,82.3,44.5,2082.0,56.4,72.5,2550.3,16.5,170.3,-0.4,-0.4,16.1,Pennsylvania,0.2220689655172414,-0.005517241379310345,-0.00013098005828612595
2807,CASY,920.955,5943.27,476.568,378.869,12022.069,446.691,587.518,15094.475,117.701,543.598,23.126,23.126,140.827,Iowa,0.2396981879704111,0.03936219826456381,0.0038911239099014513
2817,CAT,46949.0,87476.0,3092.0,7941.0,41223.0,10335.0,13113.0,67060.0,3373.0,454.0,-592.0,-592.0,2781.0,Texas,0.212079615648593,-0.0451460382826203,-0.006767570533632082
2818,CATO,277.673,553.14,19.433,132.444,509.664,0.029,1.77,759.26,1.355,0.0,0.386,0.386,1.741,North Carolina,0.9836158192090396,0.21807909604519773,0.000697834183027805
2820,CVCO,804.579,1307.975,44.106,298.133,1570.878,240.554,306.763,2142.713,63.949,7.581,2.11,1.973,65.922,Arizona,0.21489553824939775,0.006878274107372793,0.0016131806800588695
2829,RFIL,36.04,82.278,2.483,4.897,50.198,-3.078,-4.25,72.168,-0.495,0.0,-0.677,-0.677,-1.172,California,0.2757647058823529,0.15929411764705884,-0.00822820194948832
2884,LUMN,4775.0,34018.0,3100.0,2238.0,7144.0,-10298.0,-10237.0,14557.0,1.0,3127.0,8.0,60.0,61.0,Louisiana,-0.005958776985444955,-0.0007814789489108137,0.00023516961608560175
2960,CHE,500.843,1668.095,56.854,263.958,1444.802,272.509,350.367,2264.417,85.885,30.321,-8.027,-8.027,77.858,Ohio,0.22221841668878634,-0.022910262667431576,-0.004812076050824443
2986,CPK,185.699,3304.704,188.618,4.904,443.945,87.212,115.29,670.604,20.232,259.082,3.413,7.846,28.078,Delaware,0.24354237141122384,0.02960360829213288,0.0010327702571849096
2990,IMNN,18.241,21.918,0.452,15.696,0.0,-19.515,-20.795,0.0,0.0,0.0,0.287,-1.28,-1.28,New Jersey,0.061553257994710266,-0.01380139456600144,0.013094260425221278
2991,CVX,41128.0,261632.0,15829.0,8498.0,148303.0,21369.0,29584.0,196913.0,7851.0,18830.0,298.0,322.0,8173.0,California,0.2762641968631693,0.0100730124391563,0.0011390044031311154
2999,CVR,15.841,27.831,1.078,3.158,30.832,-4.402,-5.729,31.508,-0.054,0.0,-1.273,-1.273,-1.327,Illinois,0.2316285564670972,0.2222028277186245,-0.0457403614674284
3007,EAT,183.3,2487.0,184.9,15.1,3633.1,102.6,90.8,4133.2,19.2,0.0,-30.9,-31.0,-11.8,Texas,-0.1299559471365639,-0.34030837004405284,-0.012424607961399275
