gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
1689,12/31/2023,AEP1,1059,,15711.9,1053,38.8,2617.8,294.4,1685.9,10435.2,308.6,3720.7,25.2,68.5,2011.9,-54.3,-54.3,14.2,OH
1690,9/30/2023,AAPL,143566,,352583,10959,61555,205637,96995,145308,290437,113736,383285,,19765,601,0,-3024,16741,CA
1704,10/31/2023,AMAT,19147,,30729,1106,6869,13618,6856,7372,14380,7716,26517,-20,1218,10,24,-358,860,CA
1706,8/31/2023,EPAC,355.64,,762.597,9.4,154.415,290.479,53.649,148.12,435.977,68.898,598.204,9.933,14.74,5.667,0.46,0.509,15.249,WI
1718,6/30/2023,AOXY,0.106,,0.698,0,0.105,0.028,0.002,0.22,0.347,0.01,0.039,0.009,0.008,0,0,0,0.008,VT
1722,12/31/2023,ADM,29767,,54631,1494,8596,85314,3483,18662,30166,4294,93935,,851,1309,-23,,828,IL
1742,12/31/2023,PNW1,1850.388,,24516.455,1864.615,4.549,3062.102,547.337,2191.519,17167.319,658.745,4695.991,5.542,27.432,2431.697,66.751,66.752,94.184,AZ
1743,12/31/2023,ARCB,884.783,,2485.094,231.998,330.068,4103.686,142.164,701.563,1242.731,186.915,4427.443,,50.317,55.785,-5.566,-5.566,44.751,AR
1745,12/31/2023,ETR1,977.419,,13672.858,1063.273,3.632,1624.49,402.081,1213.518,9912.188,297.64,2646.396,4.625,28.899,1437.053,,-128.109,-99.21,AR
1773,12/31/2023,ARW,18327.477,,21726.168,83.285,218.053,28958.102,903.505,13187.884,15848.861,1164.354,33107.12,0,348.971,,-93.98,-93.98,254.991,CO
1783,11/30/2023,ARTW,15.085,,24.402,0.842,0.004,20.893,0.763,9.395,12.761,1.089,30.281,0.002,,0,0.102,,0.326,IA
1790,12/31/2023,AB.,6.446,,36.174,0.557,2.426,1.919,1.44,4.299,54.9,1.48,5.133,-0.02,,0,0,0,0.04,QC
1794,9/30/2023,ASH,1506,,5939,170,494,1371,168,456,2842,160,2191,0,24,148,-32,-32,-8,DE
1820,1/31/2023,ALOT,79.762,,139.207,0.229,3.946,90.455,2.661,37.498,54.84,3.41,142.527,1.71,2.085,0.167,-1.336,-1.336,0.749,RI
1823,12/31/2023,ATRO,389.782,,633.792,7.643,11.313,542.31,-26.421,143.334,384.274,-26.311,689.206,,-0.036,1.307,0.146,0.146,0.11,NY
1828,12/31/2023,ACLLF,1836,,25358,1423,592,2515,432,1616,16860,1061,4741,,,2152,196,196,242,AB
1837,12/31/2023,SO7,1486,,25083,1561,35,3093,615,1708,14280,826,4702,,86,1671,126,125,211,GA
1864,1/31/2023,REX,372.644,,579.579,15.578,282.678,782.293,27.697,54.599,68.585,47.479,855,,8.652,1.097,0.915,0.89,9.542,OH
1878,1/31/2023,ADSK,3341,,9438,40,2072,372,823,4000,8293,946,5005,149,398,32,-277,-275,123,CA
1891,6/30/2023,ADP,42170.6,,50971,206.3,2098.2,9404.1,3412,42767.6,47461.9,4437.6,18012.2,,1105.7,73.6,-80.1,-80.1,1025.6,NJ
1913,12/31/2023,AVY,2796,,8209.8,265.3,255.4,5789.7,503,2699.5,6081.9,694.7,8364.3,,212.3,181.2,,-20.6,191.7,OH
1919,6/30/2023,AVT,10750.853,,12477.159,194.674,288.23,23272.178,770.828,4249.378,7725.49,982.876,26536.881,,245.539,,-37.06,-33.491,212.048,AZ
1926,2/28/2023,AZZ,417.416,,2221.479,57.12,2.82,971.169,66.339,187.24,1368.019,88.675,1323.649,,6.197,40.536,7.007,16.139,22.336,TX
1932,12/31/2023,BTI,18070.127,,151220.441,585.948,6700.188,18443.349,-18300.685,19964.267,83793.112,-21732.302,34753.085,,3580.652,15530.17,-7239.005,-7239.006,-3658.354,
1949,12/31/2023,BRT,,,709.963,,,,3.873,,481.518,4.069,111.258,,,0,,,0.054,NY
1949,12/31/2023,BRT,,,709.963,0,24.144,70.305,3.873,,481.518,4.069,110.654,0,0.054,0,0,,0.054,NY
1968,12/31/2023,BMI,442.177,,716.919,12.003,191.782,404.317,92.598,131.948,,121.966,703.592,0,39.018,5.061,-9.65,-9.65,29.368,WI
1979,12/31/2023,BCPC,314.242,,1597.211,37.892,64.447,589.304,108.543,148.491,543.227,137.261,922.439,,39.343,52.046,-10.814,-10.625,28.718,NJ
1988,12/31/2023,BALL,4883,,19303,1045,710,11359,707,6185,15466,834,14029,0,190,421,-67,-67,123,CO
2002,12/31/2023,BPOP,,,70758.155,208.044,7419.333,1322.392,541.342,,65611.202,675.539,3896.031,0,,0,-43.139,,134.197,PR
2002,12/31/2023,BPOP,,,70758.155,,,,541.342,,65611.202,675.539,3896.031,,,0,,,134.197,PR
2005,12/31/2023,BOH,,,23733.296,,,,171.202,,22319.054,227.116,972.284,,,0,,,55.914,HI
2005,12/31/2023,BOH,,,23733.296,9.402,1000.944,322.35,171.202,,22319.054,227.116,972.284,0,,0,-11.205,,55.914,HI
2019,12/31/2023,BK,,,409953,1220,157511,16422,3286,,368944,4088,33805,,,1797,-423,,800,NY
2019,12/31/2023,BK,,,409953,,,,3286,,368944,4088,33174,,,1797,,,800,NY
2049,12/31/2023,B,906.72,,3308.014,55.739,92.039,860.376,15.996,396.61,1945.751,33.264,1450.871,-13.029,23.382,120.608,-16.058,-6.114,17.268,CT
2052,9/30/2023,BRN,9.085,,35.421,11.632,2.83,15.295,-0.961,6.598,16.664,-0.864,25.167,0,0.077,0.058,-0.13,-0.13,-0.053,HI
2055,12/31/2023,GOLD,7438,,45811,3086,4148,6201,1272,2356,13809,2814,11397,,,3439,181,181,861,ON
2080,11/30/2023,BSET,157.954,,370.424,17.489,70.182,181.524,-3.171,77.89,186.983,-2.488,390.136,0,-0.193,0,0.831,0.876,0.683,VA
2086,12/31/2023,BAX,9600,,28276,692,3198,7852,-76,6503,19808,-103,14813,,465,447,-499,-499,-34,IL
2101,6/30/2023,AIT,1646.807,,2743.332,26.476,344.036,3125.829,346.739,540.344,1284.895,449.811,4412.794,0,108.788,44.981,-5.716,-5.716,103.072,OH
2109,6/30/2023,SHGI,0.1,,0.1,0,0.1,0,-0.048,0.001,0.001,-0.048,0,0,0,0,0,0,0,RI
2111,9/30/2023,BDX,8676,,52780,874,1489,8335,1530,6641,26984,1662,19372,,754,2450,-622,-622,132,NJ
2113,8/31/2023,NICH,0.144,,0.179,0,0,0.021,-0.827,0.535,0.535,-0.827,0.004,0,0,0,0,0,0,NV
2124,12/31/2023,BELFB,381.478,,571.631,12.126,127.222,410.652,73.831,110.609,231.073,83.3,639.813,-4.976,13.341,1.456,-3.872,-3.872,9.469,NJ
2136,12/31/2023,VZ,36814,,380255,18767,3346,54805,11614,53223,286456,16987,133974,,2504,45781,2388,2388,4892,NY
2137,12/31/2023,BCE,7898,,71940,4581,1772,12332,2263,12107,51383,3323,24673,,,4869,90,90,996,QC
