gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
34467,12/31/2023,RVLV,528.589,,608.886,4.198,245.449,514.42,28.147,189.62,223.746,37.761,1068.719,-0.229,14.865,0,-5.251,-5.251,9.614,CA
34469,12/31/2023,SER,0.754,,11.965,0,0.345,0.04,-14.803,5.914,6.607,-14.811,0.142,0,0,0,0,0,0,AL
34482,12/31/2023,HKIT,24.787,,35.428,0.186,18.149,2.642,1.048,3.373,7.09,1.595,4.564,,0.208,1.604,0.339,0.339,0.547,
34483,12/31/2023,EBIZ,,,,,,,,,,,,,,,,,,NY
34485,12/31/2023,WANT,,,,,,,,,,,,,,,,,,NY
34488,10/31/2023,GRUSF,17.422,,30.163,1.457,8.858,8.923,-0.533,13.004,17.614,-0.291,23.353,0.055,,0,-0.47,-0.47,0.371,OR
34496,12/31/2023,TME,4221.884,,10652.867,23.27,3324.367,2415.285,693.869,1694.338,2585.65,852.528,3913.874,,,33.706,1.551,1.551,116.35,
34500,6/30/2023,ABCT.,500.509,,1604.572,81.876,32.909,1142.818,-46.879,425.709,1281.257,-52.78,1432.694,,,14.985,-31.882,-31.882,-5.901,ON
34501,12/31/2023,SSPY,,,,,,,,,,,,,,,,,,OK
34504,12/31/2023,CRLBF,278.087,,1358.467,55.385,108.52,369.456,-175.522,200.242,930.4,-146.902,770.885,-5.295,71.537,40.457,-32.659,-13.237,32.95,IL
34512,12/31/2023,EMCR,,,,,,,,,,,,,,,,,,NY
34513,12/31/2023,EMCS,,,,,,,,,,,,,,,,,,NY
34525,12/31/2023,QFIN,5612.447,,6461.808,11.925,1068.163,1269.038,604.362,2806.45,3357.751,744.281,2297.388,10.765,,31.707,11.014,10.292,142.282,
34526,12/31/2023,ARDT,1618.085,,4731.558,137.408,437.577,3620.791,53.904,994.104,3649.242,151.614,5409.483,0,17.883,0,3.996,4.754,22.637,TN
34534,12/31/2023,ZFN.,,,,,,,,,,,,,,,,,,ON
34535,12/31/2023,CHIS,,,,,,,,,,,,,,,,,,NY
34536,12/31/2023,ZFC.,,,,,,,,,,,,,,,,,,ON
34538,12/31/2023,CHIK,,,,,,,,,,,,,,,,,,NY
34539,12/31/2023,MEME.B,,,,,,,,,,,,,,,,,,ON
34540,12/31/2023,CHIU,,,,,,,,,,,,,,,,,,NY
34541,12/31/2023,CHIH,,,,,,,,,,,,,,,,,,NY
34542,12/31/2023,CHIR,,,,,,,,,,,,,,,,,,NY
34549,12/31/2023,IQIN,,,,,,,,,,,,,,,,,,NY
34553,12/31/2023,BBAG,,,,,,,,,,,,,,,,,,NY
34556,12/31/2023,BBCB,,,,,,,,,,,,,,,,,,NY
34560,7/31/2023,ZBAI,2.543,,3.769,0.001,0.737,3.072,-2.882,1.54,2.229,-2.851,2.45,0.031,0.031,0,0,0,0.031,CA
34562,12/31/2023,ORGO,225.044,,460.025,24.364,104.338,91.115,4.945,80.509,181.362,10.392,433.14,,3.435,0,2.012,2.012,5.447,MA
34566,12/31/2023,HOTH,9.428,,9.52,0,9.292,0,-7.845,0.679,0.705,-7.845,0,0,0,0,0,0,0,NY
34570,12/31/2023,CRDL,36.153,,36.701,0.064,34.932,0,-28.128,8.295,8.454,-28.128,0,0,0,0,0,0,0,ON
34571,12/31/2023,JFIN,,,796.083,4.448,52.551,282.356,183.004,,460.366,217.919,770.995,30.934,,0,-0.009,5.648,34.921,
34578,12/31/2023,GOSS,306.519,,311.916,0,296.425,0,-179.817,51.598,249.147,-179.817,0,0,0,0,0,0,0,CA
34580,12/31/2023,MTC,3.024,,156.987,0.001,1.76,0.173,-4.392,1.994,34.623,-4.392,0.87,0,0,0,0,0,0,
34583,12/31/2023,ERSX,,,,,,,,,,,,,,,,,,MA
34584,12/31/2023,PHUN,4.961,,6.728,0,3.934,3.062,-41.944,16.503,18.185,-41.915,4.832,,0.029,0,0,0,0.029,TX
34592,12/31/2023,IAUM,,,,,,,,,,,,,,,,,,NY
34594,12/31/2023,BJAN,,,,,,,,,,,,,,,,,,IL
34595,12/31/2023,PJAN,,,,,,,,,,,,,,,,,,IL
34596,12/31/2023,UJAN,,,,,,,,,,,,,,,,,,IL
34597,12/31/2023,LDSN,0.285,,7.091,0,0.175,0,-0.303,0.258,1.245,-0.303,0,0,0,0,0,0,0,
34602,6/30/2023,HPH,32.817,,37.441,0.121,23.817,1.619,-6.009,4.284,7.515,-4.825,15.78,-0.245,,0,-1.131,1.024,1.184,
34603,12/31/2023,FUTU,12216.148,,12434.841,9.955,6728.628,80.072,548.093,9271.943,9289.292,643.586,1281.227,,,0.81,-1.891,-1.891,95.817,
34605,12/31/2023,LDSF,,,,,,,,,,,,,,,,,,IL
34609,12/31/2023,PSTX,226.475,,273.885,3.066,212.202,188.593,-123.43,71.318,170.184,-123.323,64.703,0,0.107,,0,0,0.107,CA
34610,12/31/2023,XTKG,31.068,,175.959,0.679,4.716,7.946,-109.598,31.828,31.938,-122.285,16.825,,,0,-0.067,-0.067,-0.058,
34613,12/31/2023,SLE,16.758,,25.328,0.008,7.609,15.244,-30.33,13.371,15.338,-30.643,25.079,0,0,0,-0.313,-0.313,-0.313,CA
34616,12/31/2023,ALEC,565.807,,621.827,2.381,548.861,241.377,-130.391,177.948,487.669,-125.179,97.062,0,5.212,0,0,0,5.212,CA
34617,12/31/2023,BSRTF,35.775,,1825.914,0,16.036,76.87,-210.87,55.64,1113.513,-210.87,180.638,0,0,0,0,0,0,ON
34618,12/31/2023,BCOW,,,557.607,0.812,13.25,8.844,-6.792,,484.846,-6.404,19.484,0,,0,0.388,,0.388,WI
34618,12/31/2023,BCOW,,,557.607,,,,-6.792,,484.846,-6.404,19.484,,,0,,,0.388,WI
34621,9/30/2023,YCBD,8.07,,16.195,0.298,1.798,9.178,-22.938,4.67,7.164,-22.938,24.155,0,0,0,0,0,0,NC
34624,12/31/2023,NXGL,5.052,,9.955,0.696,2.7,3.244,-3.157,2.549,4.789,-3.188,4.089,0,0,0,0,0,0,PA
34631,12/31/2023,ZZZD.,,,,,,,,,,,,,,,,,,ON
34636,6/30/2023,FOXA,7257,,21866,357,4272,9689,1239,3763,11208,1736,14913,0,162,6,321,321,483,NY
34645,12/31/2023,GIFT,10.11,,39.762,0.9,4.1,76.43,-5.145,11.98,15.441,-5.115,87.147,0,,1.8,0,,0.03,IL
34651,12/31/2023,HUTL.,,,,,,,,,,,,,,,,,,ON
34652,12/31/2023,HGGG.,,,,,,,,,,,,,,,,,,ON
34677,12/31/2023,PCLOF,3.327,,22.289,0.015,0.062,2.91,-16.298,21.416,23.969,-16.298,1.542,0,0,0,0,0,0,ON
34685,12/31/2023,CAFR.,,,,,,,,,,,,,,,,,,ON
34687,12/31/2023,CACB.,,,,,,,,,,,,,,,,,,ON
34694,12/31/2023,HEWB.,,,,,,,,,,,,,,,,,,ON
34696,12/31/2023,HCRE.,,,,,,,,,,,,,,,,,,ON
34697,12/31/2023,LGOV,,,,,,,,,,,,,,,,,,IL
34703,12/31/2023,DANC.,,,,,,,,,,,,,,,,,,QC
34704,12/31/2023,FCUQ.,,,,,,,,,,,,,,,,,,ON
34705,12/31/2023,FCIQ.,,,,,,,,,,,,,,,,,,ON
34706,12/31/2023,FCIL.,,,,,,,,,,,,,,,,,,ON
34708,12/31/2023,FCUL.,,,,,,,,,,,,,,,,,,ON
34709,12/31/2023,SEELQ,5.403,,5.418,0,2.996,42.702,-37.882,38.928,38.928,-37.882,2.203,0,0,0,0,0,0,NY
34710,12/31/2023,FCLH.,,,,,,,,,,,,,,,,,,ON
34711,12/31/2023,FCQH.,,,,,,,,,,,,,,,,,,ON
34712,12/31/2023,FCCQ.,,,,,,,,,,,,,,,,,,ON
34713,12/31/2023,FCCL.,,,,,,,,,,,,,,,,,,ON
34737,12/31/2023,EMFQ,,,,,,,,,,,,,,,,,,IL
34739,12/31/2023,JCPB,,,,,,,,,,,,,,,,,,NY
34746,12/31/2023,CYCN,8.024,,13.374,0,7.571,0,-12.593,2.086,2.086,-12.593,0,0,0,0,0,0,0,MA
34749,12/31/2023,COIN,203466.531,,206982.953,63.202,5738.371,281.063,94.871,197714.131,200701.304,-76.845,2926.556,,44.618,0,-216.334,-216.334,-171.716,NY
34753,12/31/2023,GIPR,,,108.691,0,3.152,6.72,-5.717,,74.169,-4.441,7.666,0,0,0,0,0,0,FL
34756,12/31/2023,PMNT.,,,,,,,,,,,,,,,,,,ON
34763,12/31/2023,ARKF,,,,,,,,,,,,,,,,,,FL
34766,12/31/2023,WORX,0.436,,6.278,0,0.091,2.536,-3.981,2.334,2.424,-3.981,3.805,0,0,0,0,0,0,FL
34770,12/31/2023,NCRA,1.712,,5.034,0.858,1.439,23.534,-4.29,1.77,1.77,-4.321,23.916,0.023,,0,0.023,,0.023,
34771,7/31/2023,BGFGF,0.54,,4.611,0.685,0.503,0.023,-0.709,0.316,0.478,-0.767,0,0,0,0,-0.058,-0.058,-0.058,QC
34778,12/31/2023,VRAI,,,,,,,,,,,,,,,,,,NY
34779,12/31/2023,VPC,,,,,,,,,,,,,,,,,,NY
34780,12/31/2023,VCIP.,,,,,,,,,,,,,,,,,,ON
34781,12/31/2023,VEQTF,,,,,,,,,,,,,,,,,,ON
34790,12/31/2023,NALT.,,,,,,,,,,,,,,,,,,QC
34791,12/31/2023,NPRF.,,,,,,,,,,,,,,,,,,ON
34792,12/31/2023,NFAM.,,,,,,,,,,,,,,,,,,QC
34793,12/31/2023,NBGLF,,,,,,,,,,,,,,,,,,QC
34794,3/31/2023,NKGFF,8.16,,37.664,3.715,7.931,30.728,-53.59,1.275,1.275,-53.59,0,0,0,0,0,0,0,BC
34795,12/31/2023,PLDI.,,,,,,,,,,,,,,,,,,ON
34796,12/31/2023,WINC,,,,,,,,,,,,,,,,,,NY
34823,12/31/2023,ZBAL.,,,,,,,,,,,,,,,,,,ON
34826,12/31/2023,ZHU.,,,,,,,,,,,,,,,,,,ON
34827,12/31/2023,ZWK.,,,,,,,,,,,,,,,,,,ON
34828,12/31/2023,ZNQ.,,,,,,,,,,,,,,,,,,ON
34829,12/31/2023,ZCON.,,,,,,,,,,,,,,,,,,ON
34830,12/31/2023,ZGRO.,,,,,,,,,,,,,,,,,,ON
34854,12/31/2023,SWAV,1225.26,,1566.563,30.595,990.554,85.451,147.278,104.205,897.886,174.281,730.23,1.526,12.295,3.609,14.76,14.708,27.003,CA
34860,12/31/2023,HLPR.,,,,,,,,,,,,,,,,,,ON
34863,12/31/2023,TIGR,3689.972,,3746.047,2.764,1940.651,46.463,32.564,3085.562,3250.625,45.994,272.508,,,3.398,3.206,-3.206,12.987,
34865,12/31/2023,FSMD,,,,,,,,,,,,,,,,,,MA
34866,12/31/2023,FDEV,,,,,,,,,,,,,,,,,,MA
34867,12/31/2023,FDEM,,,,,,,,,,,,,,,,,,MA
34873,12/31/2023,LYFT,2577.419,,4564.467,149.819,1686.548,2831.755,-340.32,2961.561,4022.949,-331.704,4403.589,0,11.001,,,-2.385,8.616,CA
34882,12/31/2023,SILK,240.835,,265.309,1.507,181.474,47.352,-55.743,30.283,114.158,-55.743,177.134,0,0,0,0,0,0,CA
34883,12/31/2023,DTIL,136.359,,159.781,1.957,116.678,87.277,-42.527,49.987,140.92,-42.527,48.727,0,0,0,0,0,0,NC
34884,12/31/2023,SIXG,,,,,,,,,,,,,,,,,,FL
34904,12/31/2023,DRFE.,,,,,,,,,,,,,,,,,,QC
34905,12/31/2023,USSG,,,,,,,,,,,,,,,,,,NY
34906,12/31/2023,DRFG.,,,,,,,,,,,,,,,,,,QC
34907,12/31/2023,EWJV,,,,,,,,,,,,,,,,,,CA
34910,3/31/2023,LSPD,934.332,,2668.732,9.227,801.52,398.545,-1070.009,150.457,171.283,-1074.228,730.506,0.201,,0,-6.688,-6.688,-4.219,QC
34914,12/31/2023,VADP,4.351,,4.488,0.012,1.162,11.067,-8.522,11.493,13.636,-8.522,16.034,0,0,0,0,2.675,0,CA
34915,12/31/2023,BHAT,39.282,,49.263,0,0.41,72.113,-26.688,5.664,8.641,-29.102,73.687,-0.036,,0,0,0,0.006,
34919,12/31/2023,TW,,,7059.538,18.529,1744.274,639.558,364.866,,1128.132,547.98,1338.219,,38.581,20.767,89.896,89.896,128.477,NY
34920,3/31/2023,PAVS,9.786,,36.34,0.046,3.355,89.72,-71.739,20.953,22.467,-68.73,98.153,0.106,,1.514,3.231,3.094,3.457,NY
34925,12/31/2023,BBSA,,,,,,,,,,,,,,,,,,NY
34928,12/31/2023,NGENF,12.515,,13.236,0.006,11.66,0,-22.382,15.139,15.245,-22.382,0,0,0,0,0,0,0,BC
34929,12/31/2023,XFOR,122.076,,147.258,0.06,114.466,0,-101.167,22.862,96.159,-101.089,0,0,0,0,0,0,0.078,MA
34937,12/31/2023,FSEA,,,571.035,0.349,6.069,9.268,-10.656,,504.417,-6.712,17.734,0,,0,3.861,,3.944,NH
34937,12/31/2023,FSEA,,,571.035,,,,-10.656,,504.417,-6.712,17.734,,,0,,,3.944,NH
34938,12/31/2023,RMBI,,,1461.024,0.619,20.24,30.28,9.487,,1326.164,11.003,72.021,0,,0,0.641,,1.516,IN
34938,12/31/2023,RMBI,,,1461.024,,,,9.487,,1326.164,11.003,72.021,,,0,,,1.516,IN
34939,6/30/2023,PBFS,,,1856.191,0.451,150.478,5.492,21.948,,1589.491,27.855,84.038,0,,0,0.855,,5.907,NY
34939,6/30/2023,PBFS,,,1856.191,,,,21.948,,1589.491,27.855,84.038,,,0,,,5.907,NY
34941,12/31/2023,TH,180.5,,694.353,63.874,103.929,181.481,173.7,70.33,317.046,224.75,563.608,0,,53.074,37.902,37.903,51.05,TX
34942,12/31/2023,PDSB,59.055,,59.39,0,56.561,0,-42.942,13.63,33.259,-44.348,0,0,,0,0,,-1.406,NJ
34945,6/30/2023,BIOX,397.114,,818.059,22.113,60.264,232.657,18.78,298.713,487.563,19.106,419.446,-16.154,,35.785,-2.38,-2.38,-1.069,
34953,12/31/2023,PLMR,,,1708.022,0.015,97.073,264.006,79.201,,1236.77,103.642,376.308,7.255,,0,-2.826,-2.826,24.441,CA
34953,12/31/2023,PLMR,,0,1708.022,,,,79.201,,1236.77,103.642,376.441,,27.267,0,,-2.826,24.441,CA
34955,1/31/2023,PD,600.336,,817.873,8.473,476.967,55.484,-128.423,271.077,575.787,-130.064,370.793,,0.267,,0,-1.106,-0.839,CA
34964,12/31/2023,HOMZ,,,,,,,,,,,,,,,,,,CT
34965,12/31/2023,JMIA,169.04,,189.942,2.253,120.571,79.298,-99.238,117.544,121.218,-98.6,187.605,,,0.204,-2.583,-2.583,0.661,
34970,12/31/2023,AHR,,,4577.933,0,90.782,1742.389,-71.469,,3118.755,-76.224,1864.9,0,0.663,0,0,0,0.663,CA
34970,12/31/2023,AHR,,48.43,4577.933,,,,-71.469,,3118.755,-76.224,1904.973,,0.663,0,,0,0.663,CA
34981,12/31/2023,XSEM.,,,,,,,,,,,,,,,,,,ON
34982,12/31/2023,XSUS.,,,,,,,,,,,,,,,,,,ON
34983,12/31/2023,XSTB.,,,,,,,,,,,,,,,,,,ON
34985,12/31/2023,XSEA.,,,,,,,,,,,,,,,,,,ON
34986,12/31/2023,XSAB.,,,,,,,,,,,,,,,,,,ON
34988,12/31/2023,XESG.,,,,,,,,,,,,,,,,,,ON
34989,12/31/2023,DYNF,,,,,,,,,,,,,,,,,,CA
34990,12/31/2023,FOVL,,,,,,,,,,,,,,,,,,CA
34992,12/31/2023,ALPIB,,,6419.559,10.618,223.731,83.759,57.044,,5952.626,68.653,320.543,0,,0,5.084,,11.471,CO
34992,12/31/2023,ALPIB,,,6419.559,,,,57.044,,5952.626,68.653,320.543,,,0,,,11.471,CO
34997,12/31/2023,NETL,,,,,,,,,,,,,,,,,,OK
35003,12/31/2023,FISR,,,,,,,,,,,,,,,,,,MA
35005,1/31/2023,ZM,6356.412,,8128.065,103.826,5425.807,1007.922,103.711,1738.644,1921.458,249.276,4392.96,,306.526,1.312,-160.961,-160.961,145.565,CA
35007,12/31/2023,YJ,114.037,,219.131,1.75,77.836,46.008,-23.288,49.582,51.15,-22.18,90.288,,,0,0,0,1.107,
35008,12/31/2023,ENLV,33.764,,36.831,0.236,27.433,0,-29.068,6.061,6.747,-29.068,0,0,0,0,0,0,0,
35009,12/31/2023,GNLN,29.769,,38.093,1.007,0.463,47.547,-32.175,26.09,27.101,-32.325,65.373,,0,0,0,0,0,FL
35013,12/31/2023,PINS,3338.559,,3594.405,8.063,2513.626,668.58,-35.61,317.09,503.725,-16.44,3055.071,0,21.008,,0,-1.838,19.17,CA
35014,12/31/2023,HOOK,147.116,,161.337,4.159,117.096,101.505,-81.58,41.988,71.48,-81.212,20.129,,0.368,0,0,0,0.368,NY
35018,12/31/2023,GHSI,11.885,,11.918,0.004,6.36,6.854,0.158,1.319,3.772,0.158,12.249,0,0,0,0,0,0,TX
35019,12/31/2023,WKSP,9.124,,25.954,3.69,3.366,15.16,-14.929,7.167,7.776,-14.929,1.53,0,0,0,0,0,0,NY
35021,12/31/2023,BAPR,,,,,,,,,,,,,,,,,,IL
35022,12/31/2023,PAPR,,,,,,,,,,,,,,,,,,IL
35023,12/31/2023,UAPR,,,,,,,,,,,,,,,,,,IL
35030,12/31/2023,PSTL,,,567.345,0,2.867,35.062,3.709,,265.72,4.655,64.396,0,,0,0,,0.072,NY
35032,12/31/2023,XLSR,,,,,,,,,,,,,,,,,,MA
35035,12/31/2023,KTB,1043.884,,1645.439,27.366,215.05,1492.644,230.994,392.637,1273.526,271.899,2607.472,,44.655,5.611,-3.75,-3.75,40.905,NC
35040,12/31/2023,IBMO,,,,,,,,,,,,,,,,,,CA
35046,12/31/2023,IBMQ,,,,,,,,,,,,,,,,,,CA
35048,12/31/2023,CTSDF,1084.344,,2153.362,10.828,170.419,1993.795,-1.448,1038.364,1541.207,-18.565,2705.207,,,67.168,-33.894,-33.894,-12.172,ON
35053,12/31/2023,FREE,320.225,,825.697,5.661,30.513,385.601,-38.096,98.955,574.007,-31.767,550.913,,7.383,31.579,-1.054,-1.054,6.329,IL
35054,12/31/2023,TRVI,87.547,,89.403,0.137,82.971,0,-29.065,5.824,6.856,-29.097,0,0,-0.032,0,0,0,-0.032,CT
35056,12/31/2023,ALC,5647,,29614,658,1101,2974,974,2480,8990,832,9455,,,797,-309,-309,-142,
35059,12/31/2023,SY,242.844,,453.351,7.217,189.212,72.625,3.001,76.216,92.128,1.11,211.268,,,3.537,-4.727,-4.727,-2.549,
35062,12/31/2023,TMDX,510.654,,706.047,151.847,394.812,79.429,-25.028,54.934,568.845,-26.671,241.623,0,0.057,0,-1.66,0,-1.643,MA
35065,12/31/2023,AVTR,2384.9,,12972.7,146.4,262.9,4201.1,321.1,1480.3,7720.1,410.5,6967.2,0,261.8,612.8,-172.4,-172.4,89.4,PA
35071,12/31/2023,UFO,,,,,,,,,,,,,,,,,,PA
35072,12/31/2023,IBMP,,,,,,,,,,,,,,,,,,CA
35073,12/31/2023,SFYX,,,,,,,,,,,,,,,,,,WI
35074,12/31/2023,SFY,,,,,,,,,,,,,,,,,,WI
35077,12/31/2023,UBER,11297,,38699,223,6212,25127,1887,9454,26017,2369,37281,,187,56,26,26,213,CA
35078,12/31/2023,RRBI,,,3128.81,4.916,305.426,32.865,34.879,,2824.959,42.944,139.682,-0.527,,0,-0.33,,8.065,LA
35078,12/31/2023,RRBI,,,3128.81,,,,34.879,,2824.959,42.944,139.682,,,0,,,8.065,LA
35079,12/31/2023,ILLR,25.619,,66.589,0.105,18.678,100.584,-49.206,47.84,58.486,-48.919,54.189,0.543,,0,0,-0.046,0.287,CA
35080,11/30/2023,KEMX,,,,,,,,,,,,,,,,,,NY
35083,12/31/2023,GLDM,,,,,,,,,,,,,,,,,,NY
35087,12/31/2023,CANSF,4.171,,6.673,0.619,3.165,12.799,-13.029,1.812,3.237,-13.034,1.172,0,,0,-0.015,-0.015,-0.005,AB
35090,12/31/2023,NXTC,112.725,,128.038,0.82,108.299,0,-62.723,6.883,13.617,-62.723,0,0,0,0,0,0,0,MD
35091,12/31/2023,APLT,54.386,,54.833,0,49.898,74.527,-119.763,71.182,71.979,-119.763,9.993,0,0,0,0,0,0,NY
35092,12/31/2023,CLOU,,,,,,,,,,,,,,,,,,NY
35099,12/31/2023,MEC,134.623,,496.661,16.598,0.672,485.087,7.844,71.709,266.683,8.883,588.425,0,0.191,12.606,0.687,0.848,1.039,WI
35100,12/31/2023,MIST,73.032,,75.226,0.112,66.003,62.006,-59.685,7.226,58.455,-59.685,1,0,0,0,0,0,0,QC
35101,12/31/2023,SPFI,,,4204.793,4.681,330.158,76.896,62.745,,3797.679,79.417,254.072,0,,0,0.099,,16.672,TX
35101,12/31/2023,SPFI,,,4204.793,,,,62.745,,3797.679,79.417,254.072,,,0,,,16.672,TX
35102,12/31/2023,QNCX,77.44,,167.9,0.16,75.059,0,-31.385,9.572,82.816,-31.582,0,0,0.061,5.304,-0.248,-0.258,-0.197,CA
35104,12/31/2023,SONM,43.787,,56.043,0.036,9.397,74.261,-0.09,32.147,33.675,0.284,93.632,0.099,0.308,,0,0.066,0.374,CA
35106,12/31/2023,GSST,,,,,,,,,,,,,,,,,,NY
35107,12/31/2023,YOLO,,,,,,,,,,,,,,,,,,MD
35109,12/31/2023,IDRV,,,,,,,,,,,,,,,,,,CA
35113,12/31/2023,RYLD,,,,,,,,,,,,,,,,,,NY
35117,12/31/2023,BUL,,,,,,,,,,,,,,,,,,PA
35119,12/31/2023,CBSTF,187.527,,823.111,9.966,35.764,303.988,-175.712,160.044,757.759,-168.898,511.327,13.924,31.385,0,-25.978,-33.032,5.389,NY
35120,12/31/2023,FSLY,463.673,,1525.191,32.268,322.87,177.66,-133.088,147.694,545.703,-133.309,505.988,0,0.679,,-0.9,-0.9,-0.221,CA
35121,12/31/2023,ATLN,2.73,,4.436,0.062,2.694,0,-5.628,2.531,3.828,-5.628,0,0,0,0,0,0,0,NJ
35127,9/30/2023,CGTL,10.818,,11.389,0.004,4.306,45.303,3.155,2.187,2.189,3.835,50.279,0.673,,0.002,-0.001,-0.001,0.68,
35130,12/31/2023,SEIX,,,,,,,,,,,,,,,,,,NY
35136,12/31/2023,IDYA,532.632,,649.316,2.368,525.114,155.338,-112.961,27.101,28.226,-112.961,23.385,0,0,0,0,0,0,CA
35137,12/31/2023,BCYC,561.868,,595.344,2.929,526.423,210.076,-180.664,69.537,224.412,-179.207,26.976,0,-1.849,,3.306,3.306,1.457,
35148,12/31/2023,TPHD,,,,,,,,,,,,,,,,,,FL
35149,12/31/2023,TPLC,,,,,,,,,,,,,,,,,,TX
35152,12/31/2023,DBGI,5.56,,25.336,0.03,0.021,8.373,-8.685,23.215,23.733,-8.317,14.916,0,,0.368,0.368,0,0.368,TX
35153,12/31/2023,KXIN,4.202,,67.633,0.396,2.085,28.711,-53.563,15.115,18.616,-53.782,31.535,-0.03,,3.263,-0.229,-0.229,-0.228,
35155,12/31/2023,ECOW,,,,,,,,,,,,,,,,,,PA
35156,3/31/2023,AVAI,0.107,,0.241,0,0.107,0.317,-0.349,0.875,0.875,-0.349,0.276,0,0,0,0,0,0,NV
35157,12/31/2023,PTIN,,,,,,,,,,,,,,,,,,PA
35158,12/31/2023,PSN,2137.526,,4804.061,40.396,272.943,4121.035,161.149,1410.884,2427.346,264.053,5442.749,2.886,65.052,9.775,-8.914,-8.914,56.138,VA
35160,12/31/2023,SMXT,19.922,,48.655,0.028,2.539,42.809,0.435,43.401,64.543,0.371,54.139,,0.02,0,-0.084,0.213,-0.064,CA
35162,12/31/2023,HERD,,,,,,,,,,,,,,,,,,PA
35163,12/31/2023,TRND,,,,,,,,,,,,,,,,,,PA
35168,12/31/2023,CTVA,16260,,42996,595,2956,9320,929,10409,17717,1093,17155,,590,899,-438,-438,152,IN
35169,12/31/2023,LKNCY,1071.768,,2579.724,387.864,501.477,2264.904,401.645,770.403,1209.692,438.232,3512.102,0,,0,-19.972,-19.972,36.587,
35175,12/31/2023,IIGD,,,,,,,,,,,,,,,,,,IL
35182,1/31/2023,CRWD,3640.267,,5026.54,264.114,2705.369,510.079,-183.245,2109.072,3539.106,-159.883,2241.236,,21.096,,1.306,1.306,22.402,TX
35186,12/31/2023,DBMF,,,,,,,,,,,,,,,,,,CT
35187,12/31/2023,SFYF,,,,,,,,,,,,,,,,,,WI
35188,12/31/2023,BYOB,,,,,,,,,,,,,,,,,,WI
35190,12/31/2023,ATSX.,,,,,,,,,,,,,,,,,,AB
35194,12/31/2023,TGED.,,,,,,,,,,,,,,,,,,ON
35195,12/31/2023,TILV.,,,,,,,,,,,,,,,,,,ON
35196,12/31/2023,TEC.,,,,,,,,,,,,,,,,,,ON
35198,12/31/2023,IBHE,,,,,,,,,,,,,,,,,,CA
35200,12/31/2023,IBHD,,,,,,,,,,,,,,,,,,CA
35205,12/31/2023,HDGE.,,,,,,,,,,,,,,,,,,AB
35206,12/31/2023,SUSL,,,,,,,,,,,,,,,,,,CA
35207,12/31/2023,GOTU,505.834,,763.441,5.754,412.353,103.793,-1.029,278.293,325.364,0.474,417.564,0.35,,10.15,0.258,0.27,1.503,
35210,12/31/2023,ATER,49.636,,61.869,0.119,22.066,68.395,-74.564,25.447,25.838,-75.431,142.566,0,0.286,,-1.153,-1.153,-0.867,NJ
35211,12/31/2023,CLVT,1462.2,,12706.8,242.5,370.7,906.4,-911.2,1600,6714.5,-1012.5,2628.8,0,-23.1,249.6,-78.4,-78.2,-101.3,
35212,12/31/2023,IVOL,,,,,,,,,,,,,,,,,,NY
35214,12/31/2023,ZIG,,,,,,,,,,,,,,,,,,CA
35219,12/31/2023,HURA.,,,,,,,,,,,,,,,,,,ON
35222,12/31/2023,FVRR,594.476,,1023.604,1.053,418.657,58.593,3.681,205.425,667.83,5.054,361.375,0,,1.805,0,,1.373,
35223,4/30/2023,RCAT,32.175,,60.193,2.45,16.073,9.281,-27.088,4.761,5.584,-27.088,9.912,0,0,0,0,0,0,PR
35225,12/31/2023,AMOM,,,,,,,,,,,,,,,,,,OK
35226,12/31/2023,QRFT,,,,,,,,,,,,,,,,,,OK
35231,12/31/2023,PAYF.,,,,,,,,,,,,,,,,,,ON
35239,12/31/2023,GLIF,,,,,,,,,,,,,,,,,,MA
35240,12/31/2023,FRDM,,,,,,,,,,,,,,,,,,PA
35245,12/31/2023,EDR,3464.547,,21544.773,237.497,1444.982,2441.619,356.516,2796.945,9822.262,777.309,5960.157,0,,528.049,105.917,105.917,219.84,CA
35249,12/31/2023,HMJI.,,,,,,,,,,,,,,,,,,ON
35250,12/31/2023,HMJU.,,,,,,,,,,,,,,,,,,ON
35251,12/31/2023,AYRWF,193.22,,1459.855,27.697,50.766,218.587,-86.08,200.478,889.203,-45.756,463.63,47.848,54.839,64.965,-7.448,-7.448,47.391,FL
35252,12/31/2023,UJUN,,,,,,,,,,,,,,,,,,IL
35254,12/31/2023,PSNL,146.744,,225.099,10.911,114.179,43.977,-108.296,47.234,95.658,-108.213,73.481,,0.029,0,0,0.054,0.083,CA
35255,12/31/2023,STOK,215.339,,228.342,1.616,201.394,121.084,-104.699,30.819,68.777,-104.699,8.78,0,0,0,0,0,0,MA
35259,12/31/2023,ADCOF,11.137,,14.428,0.019,6.106,13.697,-0.944,5.403,5.555,-0.952,23.134,0,0,0.144,-0.016,-0.008,-0.008,ON
35264,12/31/2023,BBIO,477.593,,546.38,1.306,451.537,602.253,-643.202,143.844,1888.915,-653.251,9.303,0,0,0,0,0,0,CA
35267,12/31/2023,AKRO,559.962,,580.271,0,550.01,0,-151.759,19.128,44.965,-151.759,0,0,0,0,0,0,0,CA
